Escape Sequences

This is the list of all the escape sequences Python supports. You may not use many of these, but memorize their format and what they do anyway. Also try them out in some strings to see if you can make them work.

ESCAPE      WHAT IT DOES.
\\          Backslash (\)
\'          Single- quote (')
\"          Double- quote (")
\a          ASCII bell (BEL)
\b          ASCII backspace (BS)
\f          ASCII formfeed (FF)
\n          ASCII linefeed (LF)
\N          {name} Character named name in the Unicode database (Unicode only)
\r          ASCII carriage return (CR)
\t          ASCII horizontal tab (TAB)
\uxxxx      Character with 16- bit hex value xxxx (Unicode only)
\Uxxxxxxxx  Character with 32- bit hex value xxxxxxxx (Unicode only)
\v          ASCII vertical tab (VT)
\ooo        Character with octal value oo
\xhh        Character with hex value hh
